Lang,Docs,Categories,Vocab,Trial,Time
C,10,3,100,1,2.566674425
Haskell,10,3,100,1,0.084412762
C,10,3,100,2,2.377928912
Haskell,10,3,100,2,0.084105166
C,10,3,100,3,2.483687328
Haskell,10,3,100,3,0.08462693
C,10,3,100,4,2.460102151
Haskell,10,3,100,4,0.084559531
C,10,3,100,5,2.550348961
Haskell,10,3,100,5,0.066126638
C,10,3,100,6,2.545778462
Haskell,10,3,100,6,0.066091114
C,10,3,100,7,2.61946033
Haskell,10,3,100,7,0.065792429
C,10,3,100,8,2.642402818
Haskell,10,3,100,8,0.066168647
C,10,3,100,9,2.562052079
Haskell,10,3,100,9,0.066365085
C,10,3,100,10,2.560720139
Haskell,10,3,100,10,0.065981562
