System,Chains,Sweeps,Accuracy
JAGS,1,1,0
JAGS,2,1,0.05
JAGS,3,1,0.05
JAGS,4,1,0.1
JAGS,5,1,0.05
JAGS,6,1,0.05
JAGS,7,1,0.1
JAGS,8,1,0
JAGS,9,1,0.1
JAGS,10,1,0.1
JAGS,11,1,0.05
JAGS,12,1,0.1
JAGS,13,1,0
JAGS,14,1,0.05
JAGS,15,1,0.05
JAGS,16,1,0.05
JAGS,17,1,0
JAGS,18,1,0.05
JAGS,19,1,0.05
JAGS,20,1,0
JAGS,21,1,0
JAGS,22,1,0.1
JAGS,23,1,0.1
JAGS,24,1,0.05
JAGS,25,1,0.1
JAGS,26,1,0
JAGS,27,1,0.05
JAGS,28,1,0
JAGS,29,1,0
JAGS,30,1,0.1
JAGS,31,1,0.05
JAGS,32,1,0
JAGS,33,1,0
JAGS,34,1,0
JAGS,35,1,0.1
JAGS,36,1,0.15
JAGS,37,1,0
JAGS,38,1,0.05
JAGS,39,1,0.1
JAGS,40,1,0.05
JAGS,1,2,0
JAGS,2,2,0.05
JAGS,3,2,0.05
JAGS,4,2,0.1
JAGS,5,2,0.05
JAGS,6,2,0.05
JAGS,7,2,0.1
JAGS,8,2,0
JAGS,9,2,0.15
JAGS,10,2,0.1
JAGS,11,2,0.05
JAGS,12,2,0.15
JAGS,13,2,0
JAGS,14,2,0.05
JAGS,15,2,0.05
JAGS,16,2,0.05
JAGS,17,2,0
JAGS,18,2,0.05
JAGS,19,2,0.05
JAGS,20,2,0
JAGS,21,2,0
JAGS,22,2,0.1
JAGS,23,2,0.1
JAGS,24,2,0.05
JAGS,25,2,0.1
JAGS,26,2,0
JAGS,27,2,0.05
JAGS,28,2,0
JAGS,29,2,0
JAGS,30,2,0.1
JAGS,31,2,0.05
JAGS,32,2,0
JAGS,33,2,0
JAGS,34,2,0
JAGS,35,2,0.1
JAGS,36,2,0.15
JAGS,37,2,0
JAGS,38,2,0.05
JAGS,39,2,0.1
JAGS,40,2,0.05
JAGS,1,3,0
JAGS,2,3,0.05
JAGS,3,3,0.05
JAGS,4,3,0.15
JAGS,5,3,0.05
JAGS,6,3,0.05
JAGS,7,3,0.1
JAGS,8,3,0
JAGS,9,3,0.15
JAGS,10,3,0.1
JAGS,11,3,0.05
JAGS,12,3,0.15
JAGS,13,3,0
JAGS,14,3,0.05
JAGS,15,3,0.05
JAGS,16,3,0.05
JAGS,17,3,0
JAGS,18,3,0.05
JAGS,19,3,0.05
JAGS,20,3,0
JAGS,21,3,0
JAGS,22,3,0.1
JAGS,23,3,0.1
JAGS,24,3,0.05
JAGS,25,3,0.1
JAGS,26,3,0
JAGS,27,3,0.05
JAGS,28,3,0
JAGS,29,3,0.05
JAGS,30,3,0.15
JAGS,31,3,0.1
JAGS,32,3,0.05
JAGS,33,3,0
JAGS,34,3,0
JAGS,35,3,0.1
JAGS,36,3,0.15
JAGS,37,3,0
JAGS,38,3,0.05
JAGS,39,3,0.1
JAGS,40,3,0.05
JAGS,1,4,0
JAGS,2,4,0.05
JAGS,3,4,0.05
JAGS,4,4,0.2
JAGS,5,4,0.1
JAGS,6,4,0.05
JAGS,7,4,0.1
JAGS,8,4,0
JAGS,9,4,0.15
JAGS,10,4,0.1
JAGS,11,4,0.05
JAGS,12,4,0.15
JAGS,13,4,0
JAGS,14,4,0.05
JAGS,15,4,0.05
JAGS,16,4,0.05
JAGS,17,4,0
JAGS,18,4,0.1
JAGS,19,4,0.05
JAGS,20,4,0
JAGS,21,4,0
JAGS,22,4,0.05
JAGS,23,4,0.1
JAGS,24,4,0.05
JAGS,25,4,0.1
JAGS,26,4,0
JAGS,27,4,0.1
JAGS,28,4,0
JAGS,29,4,0.05
JAGS,30,4,0.15
JAGS,31,4,0.05
JAGS,32,4,0.05
JAGS,33,4,0
JAGS,34,4,0
JAGS,35,4,0.1
JAGS,36,4,0.15
JAGS,37,4,0.05
JAGS,38,4,0.05
JAGS,39,4,0.1
JAGS,40,4,0.05
JAGS,1,5,0
JAGS,2,5,0.05
JAGS,3,5,0.05
JAGS,4,5,0.1
JAGS,5,5,0.1
JAGS,6,5,0.05
JAGS,7,5,0.1
JAGS,8,5,0
JAGS,9,5,0.15
JAGS,10,5,0.1
JAGS,11,5,0.05
JAGS,12,5,0.15
JAGS,13,5,0.05
JAGS,14,5,0.05
JAGS,15,5,0.05
JAGS,16,5,0.1
JAGS,17,5,0
JAGS,18,5,0.1
JAGS,19,5,0.05
JAGS,20,5,0
JAGS,21,5,0
JAGS,22,5,0.05
JAGS,23,5,0.1
JAGS,24,5,0.15
JAGS,25,5,0.1
JAGS,26,5,0
JAGS,27,5,0.1
JAGS,28,5,0
JAGS,29,5,0.05
JAGS,30,5,0.15
JAGS,31,5,0.05
JAGS,32,5,0.05
JAGS,33,5,0
JAGS,34,5,0
JAGS,35,5,0.1
JAGS,36,5,0.15
JAGS,37,5,0.05
JAGS,38,5,0.05
JAGS,39,5,0.1
JAGS,40,5,0.05
JAGS,1,6,0
JAGS,2,6,0.05
JAGS,3,6,0.05
JAGS,4,6,0.15
JAGS,5,6,0.1
JAGS,6,6,0.05
JAGS,7,6,0.1
JAGS,8,6,0
JAGS,9,6,0.15
JAGS,10,6,0.1
JAGS,11,6,0.05
JAGS,12,6,0.15
JAGS,13,6,0.05
JAGS,14,6,0.05
JAGS,15,6,0.05
JAGS,16,6,0.1
JAGS,17,6,0.05
JAGS,18,6,0.1
JAGS,19,6,0.05
JAGS,20,6,0
JAGS,21,6,0
JAGS,22,6,0.05
JAGS,23,6,0.15
JAGS,24,6,0.15
JAGS,25,6,0.1
JAGS,26,6,0
JAGS,27,6,0.1
JAGS,28,6,0
JAGS,29,6,0.05
JAGS,30,6,0.2
JAGS,31,6,0.05
JAGS,32,6,0.05
JAGS,33,6,0
JAGS,34,6,0
JAGS,35,6,0.15
JAGS,36,6,0.15
JAGS,37,6,0.05
JAGS,38,6,0.05
JAGS,39,6,0.1
JAGS,40,6,0.1
JAGS,1,7,0
JAGS,2,7,0.1
JAGS,3,7,0.05
JAGS,4,7,0.15
JAGS,5,7,0.1
JAGS,6,7,0.05
JAGS,7,7,0.1
JAGS,8,7,0
JAGS,9,7,0.15
JAGS,10,7,0.1
JAGS,11,7,0.05
JAGS,12,7,0.15
JAGS,13,7,0.05
JAGS,14,7,0.05
JAGS,15,7,0.05
JAGS,16,7,0.1
JAGS,17,7,0.05
JAGS,18,7,0.1
JAGS,19,7,0.05
JAGS,20,7,0
JAGS,21,7,0
JAGS,22,7,0.05
JAGS,23,7,0.1
JAGS,24,7,0.15
JAGS,25,7,0.1
JAGS,26,7,0
JAGS,27,7,0.1
JAGS,28,7,0
JAGS,29,7,0.05
JAGS,30,7,0.2
JAGS,31,7,0.05
JAGS,32,7,0
JAGS,33,7,0.05
JAGS,34,7,0.05
JAGS,35,7,0.15
JAGS,36,7,0.15
JAGS,37,7,0.05
JAGS,38,7,0.1
JAGS,39,7,0.15
JAGS,40,7,0.15
JAGS,1,8,0
JAGS,2,8,0.1
JAGS,3,8,0.05
JAGS,4,8,0.2
JAGS,5,8,0.1
JAGS,6,8,0.05
JAGS,7,8,0.1
JAGS,8,8,0
JAGS,9,8,0.15
JAGS,10,8,0.1
JAGS,11,8,0.05
JAGS,12,8,0.15
JAGS,13,8,0.05
JAGS,14,8,0.05
JAGS,15,8,0.05
JAGS,16,8,0.1
JAGS,17,8,0.05
JAGS,18,8,0.1
JAGS,19,8,0.05
JAGS,20,8,0
JAGS,21,8,0
JAGS,22,8,0.05
JAGS,23,8,0.1
JAGS,24,8,0.15
JAGS,25,8,0.15
JAGS,26,8,0
JAGS,27,8,0.1
JAGS,28,8,0
JAGS,29,8,0.05
JAGS,30,8,0.2
JAGS,31,8,0.05
JAGS,32,8,0
JAGS,33,8,0.1
JAGS,34,8,0.05
JAGS,35,8,0.15
JAGS,36,8,0.15
JAGS,37,8,0
JAGS,38,8,0.1
JAGS,39,8,0.1
JAGS,40,8,0.15
JAGS,1,9,0
JAGS,2,9,0.1
JAGS,3,9,0.05
JAGS,4,9,0.2
JAGS,5,9,0.15
JAGS,6,9,0.05
JAGS,7,9,0.15
JAGS,8,9,0
JAGS,9,9,0.15
JAGS,10,9,0.1
JAGS,11,9,0.05
JAGS,12,9,0.15
JAGS,13,9,0.05
JAGS,14,9,0.05
JAGS,15,9,0.05
JAGS,16,9,0.1
JAGS,17,9,0.05
JAGS,18,9,0.1
JAGS,19,9,0.05
JAGS,20,9,0
JAGS,21,9,0.05
JAGS,22,9,0.1
JAGS,23,9,0.1
JAGS,24,9,0.1
JAGS,25,9,0.1
JAGS,26,9,0
JAGS,27,9,0.2
JAGS,28,9,0
JAGS,29,9,0.05
JAGS,30,9,0.2
JAGS,31,9,0.05
JAGS,32,9,0
JAGS,33,9,0.1
JAGS,34,9,0.05
JAGS,35,9,0.15
JAGS,36,9,0.15
JAGS,37,9,0
JAGS,38,9,0.1
JAGS,39,9,0.1
JAGS,40,9,0.15
JAGS,1,10,0
JAGS,2,10,0.1
JAGS,3,10,0.05
JAGS,4,10,0.2
JAGS,5,10,0.15
JAGS,6,10,0.05
JAGS,7,10,0.15
JAGS,8,10,0
JAGS,9,10,0.15
JAGS,10,10,0.1
JAGS,11,10,0.05
JAGS,12,10,0.15
JAGS,13,10,0.1
JAGS,14,10,0.05
JAGS,15,10,0.05
JAGS,16,10,0.1
JAGS,17,10,0.05
JAGS,18,10,0.1
JAGS,19,10,0.05
JAGS,20,10,0
JAGS,21,10,0
JAGS,22,10,0.1
JAGS,23,10,0.1
JAGS,24,10,0.1
JAGS,25,10,0.1
JAGS,26,10,0
JAGS,27,10,0.15
JAGS,28,10,0
JAGS,29,10,0.05
JAGS,30,10,0.15
JAGS,31,10,0.05
JAGS,32,10,0
JAGS,33,10,0.1
JAGS,34,10,0.05
JAGS,35,10,0.15
JAGS,36,10,0.15
JAGS,37,10,0
JAGS,38,10,0.1
JAGS,39,10,0.1
JAGS,40,10,0.15
JAGS,1,11,0
JAGS,2,11,0.1
JAGS,3,11,0.05
JAGS,4,11,0.2
JAGS,5,11,0.15
JAGS,6,11,0.05
JAGS,7,11,0.15
JAGS,8,11,0
JAGS,9,11,0.15
JAGS,10,11,0.1
JAGS,11,11,0.05
JAGS,12,11,0.15
JAGS,13,11,0.1
JAGS,14,11,0.05
JAGS,15,11,0.05
JAGS,16,11,0.1
JAGS,17,11,0.05
JAGS,18,11,0.1
JAGS,19,11,0.05
JAGS,20,11,0
JAGS,21,11,0.05
JAGS,22,11,0.1
JAGS,23,11,0.1
JAGS,24,11,0.1
JAGS,25,11,0.1
JAGS,26,11,0
JAGS,27,11,0.1
JAGS,28,11,0.05
JAGS,29,11,0.05
JAGS,30,11,0.15
JAGS,31,11,0.05
JAGS,32,11,0
JAGS,33,11,0.1
JAGS,34,11,0.05
JAGS,35,11,0.15
JAGS,36,11,0.15
JAGS,37,11,0
JAGS,38,11,0.1
JAGS,39,11,0.1
JAGS,40,11,0.1
JAGS,1,12,0
JAGS,2,12,0.1
JAGS,3,12,0.05
JAGS,4,12,0.2
JAGS,5,12,0.15
JAGS,6,12,0.05
JAGS,7,12,0.15
JAGS,8,12,0
JAGS,9,12,0.15
JAGS,10,12,0.1
JAGS,11,12,0.05
JAGS,12,12,0.15
JAGS,13,12,0.1
JAGS,14,12,0.05
JAGS,15,12,0.05
JAGS,16,12,0.1
JAGS,17,12,0.1
JAGS,18,12,0.1
JAGS,19,12,0.05
JAGS,20,12,0
JAGS,21,12,0.05
JAGS,22,12,0.1
JAGS,23,12,0.1
JAGS,24,12,0.1
JAGS,25,12,0.1
JAGS,26,12,0
JAGS,27,12,0.1
JAGS,28,12,0.05
JAGS,29,12,0.05
JAGS,30,12,0.15
JAGS,31,12,0.05
JAGS,32,12,0
JAGS,33,12,0.1
JAGS,34,12,0.05
JAGS,35,12,0.15
JAGS,36,12,0.15
JAGS,37,12,0
JAGS,38,12,0.1
JAGS,39,12,0.1
JAGS,40,12,0.1
JAGS,1,13,0
JAGS,2,13,0.1
JAGS,3,13,0.05
JAGS,4,13,0.2
JAGS,5,13,0.15
JAGS,6,13,0.05
JAGS,7,13,0.15
JAGS,8,13,0
JAGS,9,13,0.15
JAGS,10,13,0.1
JAGS,11,13,0.05
JAGS,12,13,0.15
JAGS,13,13,0.1
JAGS,14,13,0.05
JAGS,15,13,0.05
JAGS,16,13,0.1
JAGS,17,13,0.1
JAGS,18,13,0.1
JAGS,19,13,0.05
JAGS,20,13,0
JAGS,21,13,0.1
JAGS,22,13,0.1
JAGS,23,13,0.1
JAGS,24,13,0.1
JAGS,25,13,0.1
JAGS,26,13,0
JAGS,27,13,0.1
JAGS,28,13,0.05
JAGS,29,13,0.05
JAGS,30,13,0.15
JAGS,31,13,0.05
JAGS,32,13,0
JAGS,33,13,0.05
JAGS,34,13,0.05
JAGS,35,13,0.15
JAGS,36,13,0.15
JAGS,37,13,0
JAGS,38,13,0.1
JAGS,39,13,0.05
JAGS,40,13,0.1
JAGS,1,14,0
JAGS,2,14,0.1
JAGS,3,14,0.05
JAGS,4,14,0.2
JAGS,5,14,0.1
JAGS,6,14,0.05
JAGS,7,14,0.15
JAGS,8,14,0
JAGS,9,14,0.15
JAGS,10,14,0.1
JAGS,11,14,0.05
JAGS,12,14,0.15
JAGS,13,14,0.1
JAGS,14,14,0.05
JAGS,15,14,0.05
JAGS,16,14,0.1
JAGS,17,14,0.1
JAGS,18,14,0.1
JAGS,19,14,0.05
JAGS,20,14,0
JAGS,21,14,0.1
JAGS,22,14,0.1
JAGS,23,14,0.1
JAGS,24,14,0.1
JAGS,25,14,0.1
JAGS,26,14,0
JAGS,27,14,0.15
JAGS,28,14,0.05
JAGS,29,14,0.05
JAGS,30,14,0.15
JAGS,31,14,0.05
JAGS,32,14,0
JAGS,33,14,0.05
JAGS,34,14,0.05
JAGS,35,14,0.15
JAGS,36,14,0.15
JAGS,37,14,0
JAGS,38,14,0.1
JAGS,39,14,0.05
JAGS,40,14,0.1
JAGS,1,15,0
JAGS,2,15,0.1
JAGS,3,15,0.05
JAGS,4,15,0.2
JAGS,5,15,0.1
JAGS,6,15,0.05
JAGS,7,15,0.15
JAGS,8,15,0
JAGS,9,15,0.15
JAGS,10,15,0.1
JAGS,11,15,0.05
JAGS,12,15,0.15
JAGS,13,15,0.1
JAGS,14,15,0.05
JAGS,15,15,0.1
JAGS,16,15,0.1
JAGS,17,15,0.1
JAGS,18,15,0.1
JAGS,19,15,0.05
JAGS,20,15,0
JAGS,21,15,0.05
JAGS,22,15,0.1
JAGS,23,15,0.1
JAGS,24,15,0.1
JAGS,25,15,0.1
JAGS,26,15,0
JAGS,27,15,0.1
JAGS,28,15,0
JAGS,29,15,0.05
JAGS,30,15,0.15
JAGS,31,15,0.05
JAGS,32,15,0
JAGS,33,15,0.05
JAGS,34,15,0.05
JAGS,35,15,0.15
JAGS,36,15,0.15
JAGS,37,15,0
JAGS,38,15,0.1
JAGS,39,15,0.05
JAGS,40,15,0.1
JAGS,1,16,0
JAGS,2,16,0.1
JAGS,3,16,0.05
JAGS,4,16,0.2
JAGS,5,16,0.1
JAGS,6,16,0.05
JAGS,7,16,0.15
JAGS,8,16,0
JAGS,9,16,0.15
JAGS,10,16,0.1
JAGS,11,16,0.05
JAGS,12,16,0.15
JAGS,13,16,0.1
JAGS,14,16,0.05
JAGS,15,16,0.1
JAGS,16,16,0.1
JAGS,17,16,0.1
JAGS,18,16,0.1
JAGS,19,16,0.05
JAGS,20,16,0
JAGS,21,16,0.05
JAGS,22,16,0.1
JAGS,23,16,0.1
JAGS,24,16,0.1
JAGS,25,16,0.1
JAGS,26,16,0
JAGS,27,16,0.1
JAGS,28,16,0
JAGS,29,16,0.05
JAGS,30,16,0.15
JAGS,31,16,0.05
JAGS,32,16,0
JAGS,33,16,0.05
JAGS,34,16,0.1
JAGS,35,16,0.15
JAGS,36,16,0.15
JAGS,37,16,0
JAGS,38,16,0.1
JAGS,39,16,0.05
JAGS,40,16,0.1
JAGS,1,17,0
JAGS,2,17,0.1
JAGS,3,17,0.05
JAGS,4,17,0.15
JAGS,5,17,0.1
JAGS,6,17,0.05
JAGS,7,17,0.15
JAGS,8,17,0.05
JAGS,9,17,0.15
JAGS,10,17,0.1
JAGS,11,17,0.05
JAGS,12,17,0.15
JAGS,13,17,0.1
JAGS,14,17,0.05
JAGS,15,17,0.05
JAGS,16,17,0.15
JAGS,17,17,0.05
JAGS,18,17,0.1
JAGS,19,17,0.05
JAGS,20,17,0
JAGS,21,17,0.05
JAGS,22,17,0.1
JAGS,23,17,0.15
JAGS,24,17,0.1
JAGS,25,17,0.15
JAGS,26,17,0
JAGS,27,17,0.1
JAGS,28,17,0
JAGS,29,17,0.05
JAGS,30,17,0.15
JAGS,31,17,0.05
JAGS,32,17,0.05
JAGS,33,17,0.05
JAGS,34,17,0.1
JAGS,35,17,0.15
JAGS,36,17,0.15
JAGS,37,17,0
JAGS,38,17,0.1
JAGS,39,17,0.05
JAGS,40,17,0.1
JAGS,1,18,0
JAGS,2,18,0.1
JAGS,3,18,0.05
JAGS,4,18,0.15
JAGS,5,18,0.1
JAGS,6,18,0.05
JAGS,7,18,0.15
JAGS,8,18,0.05
JAGS,9,18,0.15
JAGS,10,18,0.1
JAGS,11,18,0.1
JAGS,12,18,0.15
JAGS,13,18,0.1
JAGS,14,18,0.05
JAGS,15,18,0.05
JAGS,16,18,0.15
JAGS,17,18,0.05
JAGS,18,18,0.1
JAGS,19,18,0.05
JAGS,20,18,0
JAGS,21,18,0.05
JAGS,22,18,0.1
JAGS,23,18,0.1
JAGS,24,18,0.1
JAGS,25,18,0.15
JAGS,26,18,0
JAGS,27,18,0.1
JAGS,28,18,0
JAGS,29,18,0.05
JAGS,30,18,0.15
JAGS,31,18,0.05
JAGS,32,18,0.05
JAGS,33,18,0
JAGS,34,18,0.1
JAGS,35,18,0.2
JAGS,36,18,0.15
JAGS,37,18,0
JAGS,38,18,0.1
JAGS,39,18,0.05
JAGS,40,18,0.1
JAGS,1,19,0
JAGS,2,19,0.1
JAGS,3,19,0.05
JAGS,4,19,0.15
JAGS,5,19,0.1
JAGS,6,19,0.05
JAGS,7,19,0.15
JAGS,8,19,0.05
JAGS,9,19,0.15
JAGS,10,19,0.1
JAGS,11,19,0.1
JAGS,12,19,0.15
JAGS,13,19,0.1
JAGS,14,19,0.05
JAGS,15,19,0.05
JAGS,16,19,0.15
JAGS,17,19,0.05
JAGS,18,19,0.1
JAGS,19,19,0.05
JAGS,20,19,0
JAGS,21,19,0.05
JAGS,22,19,0.1
JAGS,23,19,0.1
JAGS,24,19,0.1
JAGS,25,19,0.15
JAGS,26,19,0.05
JAGS,27,19,0.1
JAGS,28,19,0
JAGS,29,19,0.05
JAGS,30,19,0.15
JAGS,31,19,0.05
JAGS,32,19,0.05
JAGS,33,19,0
JAGS,34,19,0.1
JAGS,35,19,0.2
JAGS,36,19,0.15
JAGS,37,19,0
JAGS,38,19,0.1
JAGS,39,19,0.05
JAGS,40,19,0.1
JAGS,1,20,0
JAGS,2,20,0.1
JAGS,3,20,0.05
JAGS,4,20,0.15
JAGS,5,20,0.1
JAGS,6,20,0.05
JAGS,7,20,0.15
JAGS,8,20,0.05
JAGS,9,20,0.15
JAGS,10,20,0.1
JAGS,11,20,0.1
JAGS,12,20,0.15
JAGS,13,20,0.1
JAGS,14,20,0.05
JAGS,15,20,0.05
JAGS,16,20,0.15
JAGS,17,20,0.05
JAGS,18,20,0.1
JAGS,19,20,0.05
JAGS,20,20,0
JAGS,21,20,0.05
JAGS,22,20,0.1
JAGS,23,20,0.1
JAGS,24,20,0.1
JAGS,25,20,0.15
JAGS,26,20,0.05
JAGS,27,20,0.1
JAGS,28,20,0
JAGS,29,20,0.05
JAGS,30,20,0.15
JAGS,31,20,0.05
JAGS,32,20,0.05
JAGS,33,20,0
JAGS,34,20,0.1
JAGS,35,20,0.2
JAGS,36,20,0.15
JAGS,37,20,0
JAGS,38,20,0.1
JAGS,39,20,0.05
JAGS,40,20,0.1
JAGS,1,21,0
JAGS,2,21,0.15
JAGS,3,21,0.05
JAGS,4,21,0.15
JAGS,5,21,0.1
JAGS,6,21,0.05
JAGS,7,21,0.15
JAGS,8,21,0.05
JAGS,9,21,0.15
JAGS,10,21,0.1
JAGS,11,21,0.1
JAGS,12,21,0.15
JAGS,13,21,0.1
JAGS,14,21,0.05
JAGS,15,21,0.05
JAGS,16,21,0.15
JAGS,17,21,0.05
JAGS,18,21,0.1
JAGS,19,21,0.05
JAGS,20,21,0
JAGS,21,21,0.05
JAGS,22,21,0.15
JAGS,23,21,0.1
JAGS,24,21,0.15
JAGS,25,21,0.15
JAGS,26,21,0.1
JAGS,27,21,0.1
JAGS,28,21,0
JAGS,29,21,0.05
JAGS,30,21,0.15
JAGS,31,21,0.05
JAGS,32,21,0.05
JAGS,33,21,0
JAGS,34,21,0.1
JAGS,35,21,0.2
JAGS,36,21,0.15
JAGS,37,21,0
